time,population,targetp
06:15:00,32315,0
06:30:00,36138,0
06:45:00,37976,0
07:00:00,40869,0
07:15:00,56316,0
07:30:00,64648,0
07:45:00,95237,0
08:00:00,116642,97655
08:15:00,182402,175715
08:30:00,232285,228941
08:45:00,294691,292900
09:00:00,308119,146703
09:15:00,288584,87228
09:30:00,254224,55265
09:45:00,191442,34119
10:00:00,133465,20202
10:15:00,59950,10377
10:30:00,24353,4022
10:45:00,14061,1296
11:00:00,7710,214
11:15:00,5897,24
11:30:00,5468,2
11:45:00,5387,1
12:00:00,5355,0
12:15:00,5341,0
12:30:00,5341,0
12:45:00,5341,0
13:00:00,5341,0
13:15:00,5341,0
13:30:00,5341,0
13:45:00,5341,0
14:00:00,5341,0
